text,file
her şey kapalı,1
seagal turuncu bir hapishane tulumunda göründüğünde tiyatroda ayağa kalkıp 'hey kool-yardım!' diye bağırmak istedim ',1
Baş karakterinin can sıkıcı tavırları dışında kolay bir saat,1
aşk macerasının temizlemeli versiyonunu hayal edin mesela pişmanlık-roman platitude'larının yerini alması gereken maketlerin küfürleri,1
pc istikrarına rağmen film basit bir anlatı ve pat peri masalı bir sonuçtan muzdarip,1
yanıltıcı unvanı unutma açıklanamayan babun minyatürüyle ne var?,1
garip gelişigüzel ve romantik olmayan bir komedi,1
hayranları komik kemiklerini gıdıklayacak olsa da diğerleri başka yerlerde harcadıkları mizah arayan dolarlarını bulacaklar,1
pascale bailly'nin rom-com bir başka fabuleux destin ile amélie'nin audrey tautou sağlar - i e  bir manevi manevi arayış,1
interfaith anlayış hakkında okul sonrası özel bir statik ve şekerli küçük yarım saat 90 dakika uzatıldı,1
Freeman ve judd arasındaki kimyayı izlemek ancak neredeyse bu filmi görülmeye değer kılıyor neredeyse,1
   Hasta ve şeytani bir kadının iddialı ve nihayetinde boş bir muayenesi,1
Ülke ayılar genç izleyicileri üzecek veya korkutacak sahneleri yok Ne yazık ki bu düz çabada onları eğlendirecek ya da eğlendirecek hiçbir şey yoktur,1
65 dakikalık bu ufak tefek kuşu izlemenin kümülatif etkisi ailenin tatilini taşhenge'e götürdüğü videodan bazı garip akrabaları çekerken tuzağa düşmek gibi çok geçmeden akşam bitmek için umutsuzsun,1
karakterler asla skeçlerden daha fazla değildir   Bu herhangi bir gerçek duygusal bağlantıyı ya da tanımlamayı ulaşılmaz bir şekilde ulaşılamayacak şekilde terk eder,1
Mattei'nin azgelişmiş çabası kendi iddialı öz-sınavı tarafından doldurulan uykulu bir drama - stok karakter kampından geri dönüyormuşçasına geçit törenine benzeyen göz alıcı kişiliklerin uygun bir konveyör bandından başka bir şey değildir,1
Sadece son şaşırtıcı çekimlerinde tavşan geçirmez çit aradığı yetkiyi bulur,1
orijinal kadar keskin değil   Bazı görsel erdemlere rağmen 'bıçak ii' sadece onu kesmez,1
   kötü düzenlenmiş 91 dakikalık bir fragman gibi oynuyor (ve) yönetmen tutarlı bir ritim elde edemiyor gibi görünmüyor Aslında denediği gibi bile değil,1
"Belki de leblanc ""beyzbol oynayan maymunla ilgili film daha kötüydü"" diye düşündü",1
Beklediğiniz şey sadece aldığınız şey   beklenti çubuğunun altıncı sınıf yüksekliğinin üzerinde yükselmediği varsayılır,1
barry sonnenfeld frank pug büyük zaman borçlu,1
ropa avary'nin mpaa'ya karşı yaptığı en büyük sorun tüm yönetmenlerin zafer törenlerinde bile neredeyse hiç de şaşırtıcı olmayan ve en önemlisi şaşırtıcı derecede şaşırtıcı bir film yaptı,1
Bu yüzden cevapsızca sorularla dümdüz edildi ki sadece onu izlemek için garip bir inanç sıçramaları gerektiriyor,1
usher yaklaştı ve eğer tekrar oturmak zorunda kaldıysa o zam yükseltmek gerektiğini söyledi,1
ciddiyet ama ağır elli,1
Eğer sinise'nin karakteri bir beyine sahip olsaydı çile beş dakika içinde bitecekti ama onun yerine arsa üzerine gelmesi için engeller koymaya giden yolun dışına çıkıyor,1
Daha genç bir kalabalık için çok yavaş daha yaşlı biri için de sığ,1
"stüdyonun önceden bir tarama sunmamasının bir nedeni var ""pluto nash'in maceraları"" büyük bir zaman kokuşmuş",1
Bir öncül olmadan bir yumruk hattı tamamen yarım boyutlu karakterlerin küflü anıları inşa bir şaka,1
sevmediğimiz bir karakteri ve inanmadığımız başka bir şeyi alır ve onları umursamayan ve çok komik olmayan bir irade savaşına sokar,1
Bu filmin seyirciyi almaya çalıştığı şeyler en akıllı izleyicilerle uçmayacak,1
kampüste sürgün edilmeyle ilgili bir filmde çok sayıda genç aktörün cazip beklentisi kasıtlı yorucu çirkinliğin ortasında kaybolmamış olsa bile avary'nin dramatik bir ilginin bile bir hikayesi oluşturmadaki başarısızlığı nedeniyle can sıkıcı hale gelecektir,1
Son makaradan (spoiler alert!) oturmak abartılı bir musallat olan dört yaşındaki bir çocuğa dinlemekten çok daha az çekici,1
mesajını memnun etmek için nihai bir istekle karıştırır ve kendini bir beklenti fikrine dönüştürmek bu üç aktrisin veya karakterlerinin hak ettiği son şeydir,1
Ölümcül bir oteldeki ölümcül donuk ezikler üzerinde anlamsız bir meditasyon,1
Bu yeni roller ile sadece robotik duygu olarak nitelendirilebilen algı ve duyarlılık aşıldı,1
2002 yılındaki sundance festivalinde waldo tuz senaryosu ödülü ile yıldız hoffman'ın kardeşi gordy'sine bahşedilen jürinin aslında onu çekmekten farklı bir şey yapma girişimini onurlandırdığını varsayabiliriz,1
tavsiye edilenden daha fazla reçete edilecek bir film - diş hekiminin bekleme odası gibi görsel olarak mütevazı olarak yatıştırıcı muzak ve öngörülebilir anlatı ritimleriyle tamamlanır,1
Cinsel olarak hikayeyle ilgisi yoktur; bu sorumluluklarınızın denenmesi ve kaçması için ne denli lakin bir şey haline gelir ve asla bir çocukla birlikte büyük bir köpeği asla yalnız bırakmamalısınız ama tüm bunları boşver; göğüsler fantasti,1
betik mülayimdeki büyük ağır konuları örneğin iyi şeylerin kötü insanlara neden olduğuyla ilgili herhangi bir anlayış sunmayan surfacey tarzını kapsar,1
yabancılaşma bir portresi çok mükemmel kesinlikle çoğu izleyiciyi yabancılaştırmakta başarılı olacaktır,1
kod konuşmacılar boş bir haraçtan daha iyisini hak ettiler,1
filmi atlayın ve philip glass soundtrack cd'yi satın alın,1
hareketlerden geçen soğuk yaşlı bir adam gibi hissediyor,1
onurlu ceolar rustik bir geri çekilmekte ve bir ağaca karşı işemekte kahkahayı taşıyabilir misin,1
donuk ve mekanik çok goofy müzesi sergi gibi,1
hiçbir bakış açısı yoktur joya'nın prefeminist rahatsızlığıyla ilgili çağdaş bir yorum yoktur bu yüzden filmi yapmak için tek sebebi düşünmekten vazgeçtik çünkü mevcut standartlar bolca çıplaklık sağlar,1
tuhaf brit-com'a dikkat et Garip bir mizahtan can sıkıcı duygusallığa kadar bir dime açabilirler ve açacaklardır,1
onun anları var - ve neredeyse birçok subplots,1
tıkaçlar ve senaryo karışık bir çanta,1
tamamen korkunç iran dramı   Soğuk bir camide harika bir ayatollah kadar eğlenceli,1
Anlatımsal olarak her gün bela bir pislik havasıdır,1
byatt'ın arsalarını çıplak hollywood romantizminin amaçları için çıkarmanın bir anlamı yok,1
yönetmenler john musker ve ron clements küçük denizkızı arkasındaki takım köpüklü retina şeker üretmiş ancak uzaydaki soğuk vakumda çok fazla duygusal rezonans elde edememektedirler,1
Adam Sandler'ın kalbi doğru yerde olabilir ama kafasını kıçından çekmesi gerekiyor,1
Bunun egoyan için son derece iddialı ve kişisel bir proje olduğuna şüphe yok ama aynı zamanda en iyi çalışmasının yanında sakar ve kıvrılmış hissediyor,1
Sıradışı dokunuşlara rağmen knockaround çocuklar nadiren genç silahları gibi taze yüzlü bir varlık olarak etrafa fırlamakla ilgileniyor gibi görünüyor,1
Her şey çok güzel Filmle ilgili en rahatsız edici şey Hollywood'un insanları görmek için ödeme yapmasını beklemesi,1
Film baştan sona bir karmaşa,1
Bu kraliçenin tamamen modern bir kızlık yapmasıyla ilgili sorun daha muhtemel olduğu gibi akıl hastalığının kurbanı olmaktan ziyade onun aptal ve sığ görünmesine neden olmasıdır,1
Buzul çağı'nın oldukça güzel resimler olmadığını söylemiyorum ama hikayede onlara gerçekten hayat vermek için yeterli madde yok,1
büyük ölçüde anlatılmamış bir hikayenin anlatılmasında bui eninde sonunda kuşkulu bir şekilde tanıdık olan bir şey üretmeyi seçer,1
arsa başlangıçtan bitişe kadar klişe olmayan bir şeyden başka bir şey değildir ve senaryo yalnızca hedef kitlenin incelikli bir şekilde kaybolmadığını değil aynı filmi yüzlerce kez gördüklerini fark etmenin de çok saçma olduğunu varsayar,1
termik beyin ölü üretimi,1
Bazı bölümler çalışır bazıları yoktur,1
güzel filme ve iyi harekete geçti   ama anlatı özelliklerinde kuşkusuz sorunlu,1
j Her ne kadar bu film bir şeyi tamamen açık hale getirse de tatil kutunun ofis pastasındaki payını kazanacak: o güzel bir kadın ama o çalışan bir kız değil,1
Rymer güvensiz değildir - ve bir vampir resminden birkaç çirkin özel efektten daha fazlasını hak eden tüm ölü-ölümsüz türün takipçileri için uygun saygının varlığına sebep olmamıştır,1
Filmin sopranoları inanılmaz bir şekilde tarihlendirilmiş ve esprili değil aynı zamanda bu 'yapıcı-için-yapmak-için-nakit' çekicisinin ne kadar çaresiz olduklarını da gösteriyorlar,1
vay  Bu film tarafından uzun zamandır hayal kırıklığına uğramış değilim,1
kanca kapalı uzun ve iyi değil ama kredi yazar-yapımcı-yönetmen adam watstein bitirme ile tamamlandı,1
nettelbeck'in çalışan kadınları nasıl gördüğü ya da en azından bu çalışan kadın için çok az anlayış gösterdiği bir sürtünme,1
harris'in izlenmesi fiziksel ve duygusal olarak parçalanmanın filmin seyri boyunca son ölümünün ışığında belli bir dokunaklılığa sahip olmasına rağmen onu izlerken boyd'un filmi çok az sonuç verir,1
Bu filmin benzer şekilde zamanlanmamış bir antitröst gibi bütçenin bir fraksiyonu kadar kolay olduğunu da unutmayın,1
'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa pues el resultado es francamente aburrido y por momentos içler acısı ',1
Muhtemelen 2002'nin radar ekranına bastıran filmlerden biri olacak,1
Sorun tüm türevi değil çünkü birçok komik film eski tropileri geri dönüştürüyor Sorun şu ki van wilder malzemeyle gerçekten komik olan küçük şeyler yapıyor,1
Her ne sadakatsiz olursa olsun ilginç bir şey yok,1
Hiçbiri film yapımcılarının düşündüğü gibi ilerlemenin yarısı değil,1
işlenmiş bir komedi chop suey,1
harcanan seri dizisi gibi star trek: nemesis yalnızca sekiz hayatta kalan üyenin ortaya çıktığı 65 sınıf bir reunion mixer'ı daha da düşündürüyor - ve içmek için hiçbir şey yok,1
Bir distopya filmi olarak fahrenheit 451'in yeniden yapılandırılması ve hatta matrisin bir kopuşu olarak başarısız olur,1
Sadece kendi kendine yeten nörotiğin devreye girdiği iğrenç bir kitchat ile dolu,1
Ne de erotik ne de heyecan verici olan bir erotik gerilim,1
bartleby gibi bir film sert bir şey - 83 dakika gibi iki kat daha fazla görünen kuru-kuru bir ofis komedisidir,1
neredeyse sürekli olarak boşa harcanan karakterlerin geçit töreni ile   margarita titremesi çok uzun süren puslu bir havaya benziyor,1
eğer zaman ve paranı değerlendirirsen kaçış maddesini bulursun ve bu yazıyı görmekten kaçınılabilir tahmin edilebilinir rehash,1
yönetmen ve yetenekli kadrosu yeni çağdan ilham alan iyi niyetlerin başını çekiyor gibi görünüyor ama aldıkları büyüler en azından biraz büyüleyici değil,1
her şey basitleştirmek için 'sorunlar' ile bir yeni york tanışma komedisi oluk içine tespit edilir,1
hoş bir dürüst olmayan komedi ve herhangi bir hollywood havlaması gibi hoş olmayan bir komedi,1
cameo dolu m: i-2-spoofing başlık dizisi bu casus komedi serisinde bugüne kadarki en eğlenceli 5 dakikadır   o zaman Mike'cılar ortaya çıkar ve her şeyi mahveder,1
o kadar aptalca çıkıyor ki ba murdock ve a takımın geri kalanında siyah ve kırmızı bir minibüste kovalama görülürse şaşırmayacaksınız,1
50-muhabbet kuşları çok olgunlaşmamış ve umursamazlar,1
o kadar genial inandırıcılıktır ki bu sizin için kök saldığınız ender resimlerden biridir betiklerin zengin vaatlerinin ekranda gerçekleşmesini umuyoruz asla tam olarak değil,1
Yaz aylarında bile en huzursuz genç seyirci franchise olanaklarından daha fazla bir şey tarafından motive edilen bir aksiyon kahramanın onurunu hak ediyor,1
tüm battaniye açıklamaları ve makyaj mağazalarının dedikoduları zengin ve ani bilgeliğin endişeleriyle filmin çoğu zaman için bir vaaz haline gelir,1
bir berbat film,1
Filmin ana karakteri gibi anlaşılmaya çalışılırken filmin tüyler ürpertici temiz kesimli dahmer (jeremy renner) ve psikolojikleştirmenin hiçbir katı metin kitabının köprülenemeyeceği fiendish eylemleri arasında büyük bir boşluk kalmaktadır,1
plodding peevish ve gimmicky,1
Dört tüyler kesinlikle at tüyleridir ama bunu bilmeye devam ederseniz bu sinematik kum havuzunda eğlenebilirsiniz,1
Her gözeneğinden yoğunlaşır,1
"solaris "" işin çoğunu yapmak için izleyiciye dayanan anlamsız bir harekettir",1
george hickenlooper tarafından verilen yön ona hiçbir yapışmaz hiçbir wiseacre crackle veya sert ısırılmış sinizm yoktur,1
   hipnotik olarak donuk,1
Bu destan okumak için müthiş olsa da sadece bir dahi dokunması gereken ekran malzemesidir,1
bol bol kahkaha var sadece başka bir şey yok   özellikle ahlaki anlamda,1
içerikteki [spears '] müzik videolarından biri gibi korkunç bir şey - en az 90 dakika daha devam etmesi ve daha da kötüsü görmek istediğinizde ödemek zorundasınız,1
kafa karışıklığı en az sevdiğim duygulardan biridir özellikle de 146 dakika sürdüğümde,1
[h] Reklamı çektiğim ve sert zeminde bled olduğum hatırlayacağım askerler olduğumuzdan biraz daha karmaşık bir şey isterdim,1
bazen yüksek sesle ve rahatsız edici ama daha sık sadece sizi nazikçe uyanan komaya sürüklüyor,1
Benim büyük şişman Yunan düğün gibi ana akım yabancı lapa ile bir çift özellik olarak iyi oynayabilir,1
finale ulaştığınız zaman neden tüm bu çabaları ve duruşları izlediğinizi merak ediyorsunuzdur,1
gazeteci olarak şüpheli beceriksiz ve çoğu zaman cılız mat,1
İlkel katili yüksek teknoloji uzay istasyonuna yerleştirmek pandora'nın cheesy'den cheesier'e kadar olan çekiciliğini koşturan pandora'nın özel efektlerini ortaya çıkarır,1
En iyisi daha fazla kalbi olan siyah şahin en kötüsü rambo-leets-john ford,1
Kaos adında birinden tam olarak ne bekleyeceksin,1
hesaplanan swill,1
bu film    Ne kadar kötü olduğunu açıklamak için gereken enerjiyi hak etmiyor,1
Balast tankları ile veya olmadan k-19 düşük bir harrison tod düşük,1
yönetmen oliver parker işçileri muhtemelen bir kas ya da iki tane çektiği için ciddiyetin önemine hayat vermek için çok zor,1
Seinfeld'in gerçek hayatının sıkıcı olduğunu keşfetmek için şoke olmuş olabilirsiniz,1
selefi kadar taze ya da zevkli değil ama bunun tam bir zaman kaybı olmasını engelleyecek kadar yüksek puan var,1
walsh janice'nin davranışlarındaki pek çok tutarsızlık konusunda uzlaşamaz ya da cazibenin çekiciliği tarafından telafi edilemez,1
Serideki bu 10 film yorgun görünüyor ve hissediyor,1
ilgi çeken konusuyla ilgili küçük bir kavrayışın yanına uzanıyor,1
vincent'in gittikçe daha fazla çaresiz kalmasıyla kendimi gittikçe daha fazla hayal kırıklığına uğramış ve kopmuş buldum,1
Film tarihindeki en tuhaf ve en açıklanamaz sekellerden biri,1
İzlemekten kazanacak bir şey yok korkutucu değil karakterlerinden nefret eder izleyicilerini eğlendirmek veya onlara ilham vermek için hiçbir yol bulamaz,1
Korku tüm çocuklara izin verir Todd solondz 'çoğu kez komik ama sonunda korkaklıkla otokritik,1
Kurbanlar ve yırtıcı hayvanlar arasında güç için yapılan çatışmalar yapay gerilimin hileli bir ritmine yerleşiyor,1
tamamen korkunç,1
   buz devri bilinen bölgeler boyunca tahmin edilebilir bir şekilde ilerler ve 12 yaşın üzerinde pek çok taraftar kazanamayacak bir aile filmi yapar,1
Film iyi niyetli olsa da orijinali kiralayabilir ve aynı aşk hikayesini ve hikâyesini alabilir,1
Hedef kitlesini kurmak çok saçma ve sophomoric,1
Video çalışması o kadar grenli ve pürüzlüdür bu yüzden dikkatle aydınlatılmış ve ayarlanmış izlemek için yorucu değil 'natüralist' olmaya bağımlıdır,1
Gerçekten korkunç,1
zekice hazırlanmış ama sonuçta içi boş bir mizaca,1
Gerçekten iyi şeylere gitmeden önce vur-kaç topikal mizah tarafından boğulur,1
ağrılı ve heyecan verici bir öncül film düzensiz diyalog ve arsa lapses ile engellenir,1
onun etrafındaki dikizleme kabinlerini temizlemek için tommy'nin işi ve bunu izledikten sonra sen de paspas gibi hissedeceksin,1
Hiç şüphesiz tüfek bir hubert selby jr bir şey fantezileri ama bütün senaryosunda bir dürüst şiir yok; Bu sadece kaba ve kuşkusuz sömürücüdür,1
kabarık ve atılabilir,1
en şanslı izleyicileri şov boyunca konuşan bu cahil pinheadlerden birinin yanına oturacak kadar kötü bir film,1
Tiyatroya korkunç aksiyon dolu bir chiller bekliyorsanız yakında bir işaret arıyor olabilirsiniz bir çıkış işareti yani,1
Patlamalar sadizm ve insanların birbirlerini bir hamura dövmesini görmek isteyenler için sınırlı bir çekiciliğe sahiptir,1
diyalog şüphe ediliyor olmasına rağmen çok keskisiz ve tek heceli,1
mama'nın ailesinin uzun metrajlı r-rated road-trip versiyonudur,1
Sonunda elde ettiğiniz şey sörf filmlerinin dikey sınırıdır - aralarında çok fazla kesinti bulunan unutulmaz dubleler,1
Harvard'ı çalmak zekilik zekâ ya da herhangi bir zeki mizah umurunda değil,1
bigelow nükleer kriz dizilerini eşit olarak ele alıyor ancak dedikoduyu inşa etmeliyse drama dramı yapıyor ve çabucak hareket etmesi gereken çok fazla sahneyi çekiyor,1
Film referansları ile tıkanmış filmlerden gelen yadsınamaz keyfi var ama eğlence başka bir şey olmadığında ince - sonra dışarı - giyer,1
Eğer bütçesinin çoğundan ve tüm mizah anlayışından sıyrıldıysa banliyö jersey'in kahrolası kötü çocuğu olan kevin smith'i hayal edin sonuç vulgar gibi görünebilir,1
Bir yazarın dahmer talep ettiği kadar korkunç ve acıklı olduğu netlik ve oransızlıktan muzdariptir,1
Noel Baba 2'de beni neyin çektiği 21'inci yüzyıl realitesine karşı santa'nun çarpışmasıydı bu çok saçma,1
86 dakika süren 88 dakikalık bir vurgulama makarası,1
Film bilimsel açıdan muhteşemdir (görsel olarak konuşan),1
Böyle kötü anlaşılmaz bir karmaşa kötü sinemayla ilgili bir kabusa sahip olan karanlık bir çukura sıkışmış olmaktan ziyade kötü sinemaya daha az benzetiyor,1
Mccoist hariç oyuncuların parkta bir ipucu yok Oyunculuk daha iyi değil,1
Bütün ilişki olabileceği kadar tahmin edilebilir,1
Yeniden kızartılmış yeşil domateslerin ağırbaşlı yardımlarıyla ya-ya kardeşliğin bir ilahi olmayan sırları,1
Bu cloying diğer taraftaki öykülerden sesler cehennemdir,1
Substre'nin en etkin kurbanı olan menteşeli bir boğaz-geri çekilme korku gösterisi   ve endüstriyel model et dondurucuları için coşkun bir sevgi,1
Star Trek bir kez müthişti ama şimdi bir kopyanın kopyasının bir kopyası,1
[n] Oyuncuların ne kadar iyi üretecekleri gösterme zamanları nihayetinde kendi incelikleriyle katlanıyor,1
Her potansiyel bükülme önceden telgrafla işaretlenir her performans özel olarak kapatılır; Filmin kendisi rohypnol etkisi altında yapılmış gibi görünüyor,1
Bir hal hartley wannabe filminin havasını koyar - komik yazar-yönetmenin kendisinin en önemli komik maddesi olmadan,1
Ver Wiel'in çaresiz girişimi kaybolur eleştirel jim karakterini iki boyutlu ve anlamsız bırakır,1
Stanford'dan sürekli bir istihbarat ve bebeğin hüznünden gelen bir başka ince mizah performansına rağmen oscar'ı baştan çıkaran yaşlı bir kadın olarak film kurucuları sosyal çevreye karşı empati eksikliği - zengin new york entelijensiya - ve onun,1
disney standart animasyonunu bu animasyon macerasında takip etse de her zamankinden daha zorlanmış hissettiriyor,1
gaghan   Bu saçma hikayede kitaptaki her şüpheci klişeyi attı,1
teori el çabukluğu ve kötü işlenmiş hipoteze dayanan bir sahte yapı,1
[p] tv-cops komedi şovu için robert de niro ile murphy artnering kesinlikle ateşli gibi görünüyor yakalama tüm silindirlere ateş etmelerini önleyen bir senaryo ile sıkışmış olmalarıdır,1
'Tam bir buçuk saat değil gülüyorsun ama garip bir şekilde tatminsiz hissetmeye başla Fıstık ezmesi olmadan bir peynir yediğini hissedeceksiniz   ',1
İyilik umutsuzca inanılmaz bir performans sunuyor,1
Parker tanıdık bir materyale yeni bir yaklaşım getirmesi için takdir edilmeli ancak asıl metne sadık kalmaya kararlılığı onun biraz tiz bir tonu benimsemesine yol açacaktır   Sonunda hikayenin çekirdeğindeki insan trajedisini deler,1
Yönetmen her aşamada yargılamalara kendi kendini bilinçlendirmiştir Sonuçlar katılımdan çok daha fazla yabancılaşıyor,1
bogdanich utanç verici bir şekilde Sırp yanlısı ve diğer tarafa ses vermeye az girişimde bulunuyor,1
tez eksikliğinden dolayı maryam sonunda okul sonrası bir özelin entelektüel ve duygusal etkisi ile ortaya çıkar,1
yılın en kötü filmi,1
sayılarla iplik,1
Shakespeare'in elverişli dili olmadan güncelleme kasvetli ve durgun,1
eğer h g Kuyuların bir zaman makinesi vardı ve onun kin'in yeniden düzenlenmiş versiyonuna bir bakabilirdi ne derdi? İyi görünüyor evlat ama noktayı kaçırdın ',1
Tuxedo'nun 90 dakikalık ekran süresi boyunca gerçek bir 'değişim zamanı' yok,1
bisset bir oyun performansı sunuyor ancak filmi kurtaramıyor,1
Altın maaşında austin güçlerini izlemek pamuk şekerine bürünmek gibidir o zaman tatlı ve kabarık ama biraz yapışkan ve tatminsiz hissetmenize neden olabilir,1
en insan karşıtı büyük stüdyo resmi 3000 milden zarafete kadar,1
Film hayatın kendisiyle ilgili seni üzebilir,1
Eminim film yapımcıları bunu dikkate değer ve yeni bir kavram olarak görüyorlardı ama bağımsız bir film görmüş olan herkes bunun yerine ucuz bir klişe olduğunu rapor edebilir,1
Oyunculuk iyi ama senaryo wal-mart çıkış hattındaki konuşmaların kaydı kadar ilginç,1
onun ağırlıklı temalar gençler için çok büyük ama hikaye çok gençlere hitap etmek için masal ve diğer çocukça şeyler çok batmış,1
Son yarışmada kurtarmaya yarışmadan önce komplo bir komedi mezarlığına dönüşüyor,1
Bazen belli filmlerin bir kavanozda mühürlenmesi ve süresiz olarak bir rafta bırakılması için çok iyi nedenler vardır,1
90 dakika bu film kısa ama çok daha uzun hissediyor,1
İşte tavsiyem Kev o noktalı çizgiyi imzalamadan önce betiklerinizi okumaya başlayın,1
dönüşümlü ve özlü bir etnik sitcom   pişmanlıklarını göndermek için akıllıca olursun,1
çirkin ördek yavrusu bir hikaye çok çirkin ve beceriksizce tesadüfen hissettiğini söyledi,1
ne yazık ki bu da pek iyi değil Özellikle filme ilham veren televizyon dizisiyle karşılaştırıldı,1
Geri dönüşümlü bir kâğıtta klasik bir anne / kızı mücadelesini parlak bir yeni yay ile tamamlıyor ve seyircinin yeni olmadığını söylemek mümkün en azından güzel görünüyor,1
Tawdry b-film pisliği ile sırlanmış,1
